Name,Terrain,Time of Day,Week,Card Type,Point Value,Gold Value,Salvage Value,Home Values,Sprite File,Description,Effect1,Args1,Effect2,Args2,,
Hastily Drawn Map,Any,Any,1,Discovery,0-6,0,0,0,hastilydrawnmap_sm,"Lex cannot tell if the dark spot is a place or an oil stain. Only one way to find out! 1, 2: Definitely a stain. Lex is unable to leave his Location for a full day (cannot switch terrains until AFTER the following turn); 3,4,5,6: If wizarding doesn?t work out, Lex ought to make his living as a navigator. He finds a cache of gold!",Chance,"33,66",Move,FALSE,Points,-6
Knight's Regimen,Any,Any,1,Discovery,4,0,0,0,knightsregimen_sm,"Tired of spending heaps of gold on a trainer? The Asphorian Regimen will give you the toned calves you need for just fifteen minutes a day! Lex will draw one extra card on his next turn.
",Draw,1,,,,
Love Letter,Any,Any,1,Discovery,3,0,0,0,loveletter_sm,How lucky! Lex discovers a small note tucked inside his cloak. The note is messily signed by his sister. (Love you too!),Skip,1,,,,
Ludlow's Alchemy,Any,Any,1,Discovery,3,0,0,0,ludlowsalchemy_sm,"The most streamlined introductory text to date, and a staple of any alchemist's education. Lex spends some time brushing up on the basics. Lex skips the next draw phase and earns 3 points.",Skip,1,,,,
Old Log Cabin,Any,Any,1,Discovery,3,0,0,0,oldlogcabin_sm,"Lex is invited inside by a retired knight. He takes a nap while listening to the old lady's stories, and is bid farewell with gifts.",Draw,2,,,,
Polite Kettle,Any,Any,1,Discovery,"min: 2, max: 12",0,0,0,politekettle_sm,A kettle that informs its owner politely when its water is boiling. A fine addition to any household. Gets better with age!,Points,2,,,,
Tattered Tent,Any,Any,1,Discovery,4,0,0,0,tatteredtent_sm,An old hand-me-down tent that Lex's father packed for him with an enlargement charm on the inside. Lex takes a nap in the tent.,,,,,,
Unicorn Hair,Any,Any,1,Discovery,"min: 0, max: 5",0,0,0,unicornhair_sm,This magical hair is wonderful! But the sheen only lasts for so long. Lex draws 2 cards.,Draw,2,,,,
Hidden Path,Any,Any,2,Discovery,5,0,0,0,hiddenpath_sm,Lex notices a small trodden path left by previous adventurers... Now might be a good time to follow in their footsteps!,Draw,2,Move,FALSE,,
Big Metal Key,Any,Any,2,Discovery,"min: 2, max: 8",0,0,0,bigmetalkey_sm,"You can only wonder what door this might have opened. Lex returns the key to its owner and receives a hearty hug and some free food. If he has 2 or fewer cards, he plays on the owner's appreciation for a little while longer...drawing a card and earning 2 points per card in hand.",,,,,,
